"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test add a team to grafana and verify it","153","Test 02: Add Team And Verify","API Suite","Sun Dec 01 16:47:01 IST 2024","passed","Sun Dec 01 16:47:01 IST 2024","sanity.GrafanaAPI","API Test","sanity.GrafanaAPI","test02_addTeamAndVerify"
"This Test Verify creation of new users","2112","Test03 - Verify new user","Web Suite","Sun Dec 01 16:44:08 IST 2024","passed","Sun Dec 01 16:44:11 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test03_verifyNewUser"
"This Test Verify the visibility of Grafana Logo","968","Test06 - Verify Logo Image","Web Suite","Sun Dec 01 16:44:15 IST 2024","passed","Sun Dec 01 16:44:16 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test06_verifyLogoImage"
"This Test Adds NewTask And Verify it","661","Test02 - Add And Verify NewTask","Electron Suite","Sun Dec 01 16:49:30 IST 2024","passed","Sun Dec 01 16:49:31 IST 2024","sanity.TodoListElectron","ToDoList Test","sanity.TodoListElectron","test02_addAndVerifyNewTask"
"This Test Adds NewTask And Verify it","494","Test01 - Add And Verify NewTask","Electron Suite","Sun Dec 01 16:49:25 IST 2024","passed","Sun Dec 01 16:49:25 IST 2024","sanity.TodoListElectron","ToDoList Test","sanity.TodoListElectron","test01_addAndVerifyNewTask"
"This test Deletes a team in grafana and verify it","115","Test 04: Delete Team And Verify","API Suite","Sun Dec 01 16:47:02 IST 2024","passed","Sun Dec 01 16:47:02 IST 2024","sanity.GrafanaAPI","API Test","sanity.GrafanaAPI","test04_deleteTeamAndVerify"
"This Test verifies the Multiplication Command","4944","Test03 - Verify Multiplication Command","Desktop Suite","Sun Dec 01 16:53:53 IST 2024","passed","Sun Dec 01 16:53:58 IST 2024","sanity.CalculatorDesktop","Calculator Test","sanity.CalculatorDesktop","test03_verifyMultiplication"
"This Test verifies the Subtraction Command","4736","Test02 - Verify Subtraction Command","Desktop Suite","Sun Dec 01 16:53:48 IST 2024","passed","Sun Dec 01 16:53:53 IST 2024","sanity.CalculatorDesktop","Calculator Test","sanity.CalculatorDesktop","test02_verifySubtraction"
"This Test Searched Users in a table using DDT","13562","Test07 - Search Users","Web Suite","Sun Dec 01 16:44:16 IST 2024","passed","Sun Dec 01 16:44:30 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test07_searchUsers"
"This Test calculate mortgage and repayments","5501","Test01 - Verify Mortgage","Mobile Suite","Sun Dec 01 16:51:59 IST 2024","passed","Sun Dec 01 16:52:05 IST 2024","sanity.MortgageMobile","Mobile Test","sanity.MortgageMobile","test01_verifyMortgage"
"This Test verifies the Addition Command","5112","Test01 - Verify Addition Command","Desktop Suite","Sun Dec 01 16:53:43 IST 2024","passed","Sun Dec 01 16:53:48 IST 2024","sanity.CalculatorDesktop","Calculator Test","sanity.CalculatorDesktop","test01_verifyAddition"
"This Test Verify deletion of a user","2472","Test04 - Verify User deletion","Web Suite","Sun Dec 01 16:44:11 IST 2024","passed","Sun Dec 01 16:44:14 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test04_verifyUserDeletion"
"This test verify team property","2093","Test 01: Get Team From Grafana","API Suite","Sun Dec 01 16:46:59 IST 2024","passed","Sun Dec 01 16:47:01 IST 2024","sanity.GrafanaAPI","API Test","sanity.GrafanaAPI","test01_verifyTeam"
"This Test login and verifies the main header","1905","Test01 - Verify Header","Web Suite","Sun Dec 01 16:44:05 IST 2024","passed","Sun Dec 01 16:44:07 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test01_verifyHeader"
"This Test Searched Users in a table using DDT","13498","Test07 - Search Users","Web Suite","Sun Dec 01 16:44:34 IST 2024","passed","Sun Dec 01 16:44:47 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test07_searchUsers"
"This Test Searched Users in a table using DDT","3474","Test07 - Search Users","Web Suite","Sun Dec 01 16:44:30 IST 2024","passed","Sun Dec 01 16:44:33 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test07_searchUsers"
"","2","startSession","Desktop Suite","Sun Dec 01 15:21:54 IST 2024","broken","Sun Dec 01 15:21:54 IST 2024","sanity.CalculatorDesktop","Calculator Test","sanity.CalculatorDesktop","startSession"
"This Test Verify the visibility of the header elements","418","Test05 - Verify Header Elements","Web Suite","Sun Dec 01 16:44:14 IST 2024","passed","Sun Dec 01 16:44:14 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test05_verifyTitleElements"
"This test Updates a team in grafana and verify it","125","Test 03: Update Team And Verify","API Suite","Sun Dec 01 16:47:01 IST 2024","passed","Sun Dec 01 16:47:02 IST 2024","sanity.GrafanaAPI","API Test","sanity.GrafanaAPI","test03_updatesTeamAndVerify"
"This Test verifies the Division Command","4798","Test04 - Verify Division Command","Desktop Suite","Sun Dec 01 16:53:58 IST 2024","passed","Sun Dec 01 16:54:02 IST 2024","sanity.CalculatorDesktop","Calculator Test","sanity.CalculatorDesktop","test04_verifyDivision"
"This Test Verify default users","1192","Test02 - Verify default users","Web Suite","Sun Dec 01 16:44:07 IST 2024","passed","Sun Dec 01 16:44:08 IST 2024","sanity.GrafanaWeb","Web Test","sanity.GrafanaWeb","test02_userSection"
